radar_id,interval_start_time,altitude_band,avg_u_speed,avg_v_speed
6234,2013-04-05 00:00:00+00,1,-1.09273,-0.80584
6234,2013-04-05 00:00:00+00,2,0,0
6260,2013-04-05 00:00:00+00,1,-0.47063,2.82898
6260,2013-04-05 00:00:00+00,2,0,0
6410,2013-04-05 00:00:00+00,1,0,0
6410,2013-04-05 00:00:00+00,2,0,0
6451,2013-04-05 00:00:00+00,2,0,0
6477,2013-04-05 00:00:00+00,1,1.40141,3.77155
6477,2013-04-05 00:00:00+00,2,1.97098,3.25964
6234,2013-04-05 00:20:00+00,1,-0.87018,-0.77432
6234,2013-04-05 00:20:00+00,2,0,0
6260,2013-04-05 00:20:00+00,1,-0.46634,3.05823
6260,2013-04-05 00:20:00+00,2,0,0
6410,2013-04-05 00:20:00+00,1,0,0
6410,2013-04-05 00:20:00+00,2,0,0
6451,2013-04-05 00:20:00+00,2,0,0
6477,2013-04-05 00:20:00+00,1,1.50003,3.82894
6477,2013-04-05 00:20:00+00,2,2.75176,3.57082
6234,2013-04-05 00:40:00+00,1,-0.90515,-0.83881
6234,2013-04-05 00:40:00+00,2,0,0
6260,2013-04-05 00:40:00+00,1,-0.80028,2.85792
6260,2013-04-05 00:40:00+00,2,0,0
6410,2013-04-05 00:40:00+00,1,0.02978,-0.01471
6410,2013-04-05 00:40:00+00,2,0,0
6451,2013-04-05 00:40:00+00,1,0,0
6451,2013-04-05 00:40:00+00,2,0,0
6477,2013-04-05 00:40:00+00,1,1.67673,3.43141
6477,2013-04-05 00:40:00+00,2,2.59662,4.15111
6234,2013-04-05 01:00:00+00,1,-0.87099,-1.07386
6234,2013-04-05 01:00:00+00,2,0,0
6260,2013-04-05 01:00:00+00,1,-0.90459,2.77663
6260,2013-04-05 01:00:00+00,2,0,0
6410,2013-04-05 01:00:00+00,1,-1.72757,-1.29238
6410,2013-04-05 01:00:00+00,2,0,0
6451,2013-04-05 01:00:00+00,1,0,0
6451,2013-04-05 01:00:00+00,2,0,0
6477,2013-04-05 01:00:00+00,1,1.33162,3.19070
6477,2013-04-05 01:00:00+00,2,1.94606,3.85806
6234,2013-04-05 01:20:00+00,1,-1.02039,-0.64478
6234,2013-04-05 01:20:00+00,2,0,0
6260,2013-04-05 01:20:00+00,1,-1.01674,2.05082
6260,2013-04-05 01:20:00+00,2,0,0
6410,2013-04-05 01:20:00+00,1,-2.67188,-1.72366
6410,2013-04-05 01:20:00+00,2,0,0
6451,2013-04-05 01:20:00+00,1,0,0
6451,2013-04-05 01:20:00+00,2,0,0
6477,2013-04-05 01:20:00+00,1,0.68361,3.07927
6477,2013-04-05 01:20:00+00,2,1.79795,3.32085
6234,2013-04-05 01:40:00+00,1,-1.05797,-1.06180
6234,2013-04-05 01:40:00+00,2,0,0
6260,2013-04-05 01:40:00+00,1,-1.45809,2.35912
6260,2013-04-05 01:40:00+00,2,0,0
6410,2013-04-05 01:40:00+00,1,-2.38097,-1.37076
6410,2013-04-05 01:40:00+00,2,0,0
6451,2013-04-05 01:40:00+00,1,0,0
6451,2013-04-05 01:40:00+00,2,0,0
6477,2013-04-05 01:40:00+00,1,0.32402,2.43969
6477,2013-04-05 01:40:00+00,2,1.37476,3.07962
6234,2013-04-05 02:00:00+00,1,-1.20596,-0.97560
6234,2013-04-05 02:00:00+00,2,0,0
6260,2013-04-05 02:00:00+00,1,-1.28861,2.44559
6260,2013-04-05 02:00:00+00,2,0,0
6410,2013-04-05 02:00:00+00,1,-2.52789,-1.22060
6410,2013-04-05 02:00:00+00,2,0,0
6451,2013-04-05 02:00:00+00,1,0,0
6451,2013-04-05 02:00:00+00,2,0,0
6477,2013-04-05 02:00:00+00,1,-0.06078,2.55084
6477,2013-04-05 02:00:00+00,2,1.28481,2.02072
6234,2013-04-05 02:20:00+00,1,-1.49351,-0.87277
6234,2013-04-05 02:20:00+00,2,0,0
6260,2013-04-05 02:20:00+00,1,-1.05792,2.20607
6260,2013-04-05 02:20:00+00,2,0,0
6410,2013-04-05 02:20:00+00,1,-2.11310,-2.24459
6410,2013-04-05 02:20:00+00,2,0,0
6451,2013-04-05 02:20:00+00,1,0,0
