radar_id,interval_start_time,altitude_band,number_of_measurements,avg_u_speed,avg_v_speed,avg_bird_density
KBOX,2010-09-08 00:00:00+00,1,14,0,0,0
KBOX,2010-09-08 00:00:00+00,2,14,0,0,0
KCXX,2010-09-08 00:00:00+00,1,14,0,0,0
KCXX,2010-09-08 00:00:00+00,2,14,0,0,0
KGYX,2010-09-08 00:00:00+00,1,14,-8.09401,-4.46010,3.41587
KGYX,2010-09-08 00:00:00+00,2,14,0,0,0
KOKX,2010-09-08 00:00:00+00,1,14,0,0,0
KOKX,2010-09-08 00:00:00+00,2,14,0,0,0
KBGM,2010-09-08 00:20:00+00,1,14,0,0,0
KBGM,2010-09-08 00:20:00+00,2,14,0,0,0
KBUF,2010-09-08 00:20:00+00,1,14,3.58376,-0.11212,261.64275
KBUF,2010-09-08 00:20:00+00,2,14,1.45085,1.56098,2.59067
KCCX,2010-09-08 00:20:00+00,1,14,0,0,0
KCCX,2010-09-08 00:20:00+00,2,14,0,0,0
KDIX,2010-09-08 00:20:00+00,1,14,0,0,0
KDIX,2010-09-08 00:20:00+00,2,14,0,0,0
KDOX,2010-09-08 00:20:00+00,1,14,0,0,0
KDOX,2010-09-08 00:20:00+00,2,14,0,0,0
KENX,2010-09-08 00:20:00+00,1,14,0,0,0
KENX,2010-09-08 00:20:00+00,2,14,0,0,0
KLWX,2010-09-08 00:20:00+00,1,14,0,0,0
KLWX,2010-09-08 00:20:00+00,2,14,0,0,0
KTYX,2010-09-08 00:20:00+00,1,14,0,0,0
KTYX,2010-09-08 00:20:00+00,2,14,0,0,0
KCBW,2010-09-08 00:40:00+00,1,14,-2.27872,0.20249,1.28183
KCBW,2010-09-08 00:40:00+00,2,14,0,0,0
KBOX,2010-09-08 01:00:00+00,1,14,0,0,0
KBOX,2010-09-08 01:00:00+00,2,14,0,0,0
KCXX,2010-09-08 01:00:00+00,1,14,0,0,0
KCXX,2010-09-08 01:00:00+00,2,14,0,0,0
KDIX,2010-09-08 01:00:00+00,1,14,0,0,0
KDIX,2010-09-08 01:00:00+00,2,14,0,0,0
KGYX,2010-09-08 01:00:00+00,1,14,0,0,0
KGYX,2010-09-08 01:00:00+00,2,14,0,0,0
KOKX,2010-09-08 01:00:00+00,1,14,0,0,0
KOKX,2010-09-08 01:00:00+00,2,14,0,0,0
KBGM,2010-09-08 01:20:00+00,1,14,0,0,0
KBGM,2010-09-08 01:20:00+00,2,14,0,0,0
KBUF,2010-09-08 01:20:00+00,1,14,0,0,0
KBUF,2010-09-08 01:20:00+00,2,14,0,0,0
KCCX,2010-09-08 01:20:00+00,1,14,0,0,0
KCCX,2010-09-08 01:20:00+00,2,14,0,0,0
KDOX,2010-09-08 01:20:00+00,1,14,0,0,0
KDOX,2010-09-08 01:20:00+00,2,14,0,0,0
KENX,2010-09-08 01:20:00+00,1,14,0,0,0
KENX,2010-09-08 01:20:00+00,2,14,0,0,0
KLWX,2010-09-08 01:20:00+00,1,14,0,0,0
KLWX,2010-09-08 01:20:00+00,2,14,0,0,0
KTYX,2010-09-08 01:20:00+00,1,14,3.80302,6.39749,7.11173
KTYX,2010-09-08 01:20:00+00,2,14,0,0,0
KBOX,2010-09-08 02:00:00+00,1,14,0,0,0
KBOX,2010-09-08 02:00:00+00,2,14,0,0,0
KCBW,2010-09-08 02:00:00+00,1,14,0,0,0
KCBW,2010-09-08 02:00:00+00,2,14,0,0,0
KCXX,2010-09-08 02:00:00+00,1,14,0,0,0
KCXX,2010-09-08 02:00:00+00,2,14,0,0,0
KENX,2010-09-08 02:00:00+00,1,14,0,0,0
KENX,2010-09-08 02:00:00+00,2,14,0,0,0
KGYX,2010-09-08 02:00:00+00,1,14,0,0,0
KGYX,2010-09-08 02:00:00+00,2,14,0,0,0
KOKX,2010-09-08 02:00:00+00,1,14,0,0,0
KOKX,2010-09-08 02:00:00+00,2,14,0,0,0
KBGM,2010-09-08 02:20:00+00,1,14,0,0,0
KBGM,2010-09-08 02:20:00+00,2,14,0,0,0
KBUF,2010-09-08 02:20:00+00,1,14,0,0,0
KBUF,2010-09-08 02:20:00+00,2,14,0,0,0
KCCX,2010-09-08 02:20:00+00,1,14,0,0,0
KCCX,2010-09-08 02:20:00+00,2,14,0,0,0
KDIX,2010-09-08 02:20:00+00,1,14,0,0,0
KDIX,2010-09-08 02:20:00+00,2,14,0,0,0
KDOX,2010-09-08 02:20:00+00,1,14,0,0,0
KDOX,2010-09-08 02:20:00+00,2,14,0,0,0
KLWX,2010-09-08 02:20:00+00,1,14,0,0,0
KLWX,2010-09-08 02:20:00+00,2,14,0,0,0
KTYX,2010-09-08 02:20:00+00,1,14,0,0,0
KTYX,2010-09-08 02:20:00+00,2,14,0,0,0
KCBW,2010-09-08 02:40:00+00,1,14,0,0,0
KCBW,2010-09-08 02:40:00+00,2,14,0,0,0
KBOX,2010-09-08 03:00:00+00,1,14,0,0,0
KBOX,2010-09-08 03:00:00+00,2,14,0,0,0
KCXX,2010-09-08 03:00:00+00,1,14,2.11862,6.74602,1.28331
KCXX,2010-09-08 03:00:00+00,2,14,5.33785,2.33670,32.96343
KGYX,2010-09-08 03:00:00+00,1,14,0,0,0
KGYX,2010-09-08 03:00:00+00,2,14,0,0,0
KOKX,2010-09-08 03:00:00+00,1,14,0,0,0
KOKX,2010-09-08 03:00:00+00,2,14,0,0,0
KBGM,2010-09-08 03:20:00+00,1,14,0,0,0
KBGM,2010-09-08 03:20:00+00,2,14,0,0,0
KBUF,2010-09-08 03:20:00+00,1,14,-3.14876,-7.20495,1.97506
KBUF,2010-09-08 03:20:00+00,2,14,0,0,0
KCCX,2010-09-08 03:20:00+00,1,14,0,0,0
KCCX,2010-09-08 03:20:00+00,2,14,0,0,0
KDIX,2010-09-08 03:20:00+00,1,14,0,0,0
KDIX,2010-09-08 03:20:00+00,2,14,0,0,0
KDOX,2010-09-08 03:20:00+00,1,14,0,0,0
KDOX,2010-09-08 03:20:00+00,2,14,0,0,0
KENX,2010-09-08 03:20:00+00,1,14,0,0,0
KENX,2010-09-08 03:20:00+00,2,14,0,0,0
KLWX,2010-09-08 03:20:00+00,1,14,0,0,0
KLWX,2010-09-08 03:20:00+00,2,14,0,0,0
KTYX,2010-09-08 03:20:00+00,1,14,0,0,0
KTYX,2010-09-08 03:20:00+00,2,14,0,0,0
KCBW,2010-09-08 03:40:00+00,1,14,-1.80726,-5.55329,2.29932
KCBW,2010-09-08 03:40:00+00,2,14,0,0,0
KBOX,2010-09-08 04:00:00+00,1,14,0,0,0
KBOX,2010-09-08 04:00:00+00,2,14,0,0,0
KCXX,2010-09-08 04:00:00+00,1,14,5.88467,0.24991,544.61750
KCXX,2010-09-08 04:00:00+00,2,14,3.68725,3.77765,151.31202
KDIX,2010-09-08 04:00:00+00,1,14,0,0,0
KDIX,2010-09-08 04:00:00+00,2,14,0,0,0
KENX,2010-09-08 04:00:00+00,1,14,0,0,0
KENX,2010-09-08 04:00:00+00,2,14,0,0,0
KGYX,2010-09-08 04:00:00+00,1,14,0,0,0
KGYX,2010-09-08 04:00:00+00,2,14,0,0,0
KOKX,2010-09-08 04:00:00+00,1,14,0,0,0
KOKX,2010-09-08 04:00:00+00,2,14,0,0,0
KBGM,2010-09-08 04:20:00+00,1,14,0,0,0
KBGM,2010-09-08 04:20:00+00,2,14,0,0,0
KBUF,2010-09-08 04:20:00+00,1,14,0,0,0
KBUF,2010-09-08 04:20:00+00,2,14,0,0,0
KCCX,2010-09-08 04:20:00+00,1,14,0,0,0
KCCX,2010-09-08 04:20:00+00,2,14,0,0,0
KDOX,2010-09-08 04:20:00+00,1,14,0,0,0
KDOX,2010-09-08 04:20:00+00,2,14,0,0,0
KLWX,2010-09-08 04:20:00+00,1,14,0,0,0
KLWX,2010-09-08 04:20:00+00,2,14,0,0,0
KTYX,2010-09-08 04:20:00+00,1,14,0,0,0
KTYX,2010-09-08 04:20:00+00,2,14,0,0,0
KCBW,2010-09-08 04:40:00+00,1,14,-1.76387,-6.96619,2.31994
KCBW,2010-09-08 04:40:00+00,2,14,0,0,0
KBOX,2010-09-08 05:00:00+00,1,14,0,0,0
KBOX,2010-09-08 05:00:00+00,2,14,0,0,0
KCXX,2010-09-08 05:00:00+00,1,14,1.02393,3.76654,6.10722
KCXX,2010-09-08 05:00:00+00,2,14,0,0,0
KENX,2010-09-08 05:00:00+00,1,14,0,0,0
KENX,2010-09-08 05:00:00+00,2,14,0,0,0
KGYX,2010-09-08 05:00:00+00,1,14,0,0,0
KGYX,2010-09-08 05:00:00+00,2,14,0,0,0
KOKX,2010-09-08 05:00:00+00,1,14,0,0,0
KOKX,2010-09-08 05:00:00+00,2,14,0,0,0
KBGM,2010-09-08 05:20:00+00,1,14,0,0,0
KBGM,2010-09-08 05:20:00+00,2,14,0,0,0
KBUF,2010-09-08 05:20:00+00,1,14,0,0,0
KBUF,2010-09-08 05:20:00+00,2,14,0,0,0
KCCX,2010-09-08 05:20:00+00,1,14,0,0,0
KCCX,2010-09-08 05:20:00+00,2,14,0,0,0
KDIX,2010-09-08 05:20:00+00,1,14,0,0,0
KDIX,2010-09-08 05:20:00+00,2,14,0,0,0
KDOX,2010-09-08 05:20:00+00,1,14,0,0,0
KDOX,2010-09-08 05:20:00+00,2,14,0,0,0
KLWX,2010-09-08 05:20:00+00,1,14,0,0,0
KLWX,2010-09-08 05:20:00+00,2,14,0,0,0
KTYX,2010-09-08 05:20:00+00,1,14,0,0,0
KTYX,2010-09-08 05:20:00+00,2,14,0,0,0
KCBW,2010-09-08 05:40:00+00,1,14,0,0,0
KCBW,2010-09-08 05:40:00+00,2,14,0,0,0
KBOX,2010-09-08 06:00:00+00,1,14,0,0,0
KBOX,2010-09-08 06:00:00+00,2,14,0,0,0
KCXX,2010-09-08 06:00:00+00,1,14,0,0,0
KCXX,2010-09-08 06:00:00+00,2,14,0,0,0
KGYX,2010-09-08 06:00:00+00,1,14,0,0,0
KGYX,2010-09-08 06:00:00+00,2,14,0,0,0
KOKX,2010-09-08 06:00:00+00,1,14,0,0,0
KOKX,2010-09-08 06:00:00+00,2,14,0,0,0
KBGM,2010-09-08 06:20:00+00,1,14,-4.45719,-4.51044,89.82700
KBGM,2010-09-08 06:20:00+00,2,14,3.41043,-1.89520,3.29682
KBUF,2010-09-08 06:20:00+00,1,14,0,0,0
KBUF,2010-09-08 06:20:00+00,2,14,0,0,0
KCCX,2010-09-08 06:20:00+00,1,14,0,0,0
KCCX,2010-09-08 06:20:00+00,2,14,0,0,0
KDIX,2010-09-08 06:20:00+00,1,14,0,0,0
KDIX,2010-09-08 06:20:00+00,2,14,0,0,0
KDOX,2010-09-08 06:20:00+00,1,14,0,0,0
KDOX,2010-09-08 06:20:00+00,2,14,0,0,0
KENX,2010-09-08 06:20:00+00,1,14,-6.85446,-3.56400,537.33063
KENX,2010-09-08 06:20:00+00,2,14,0,0,0
KLWX,2010-09-08 06:20:00+00,1,14,0,0,0
KLWX,2010-09-08 06:20:00+00,2,14,0,0,0
KTYX,2010-09-08 06:20:00+00,1,14,0,0,0
KTYX,2010-09-08 06:20:00+00,2,14,0,0,0
KCBW,2010-09-08 06:40:00+00,1,14,0,0,0
KCBW,2010-09-08 06:40:00+00,2,14,0,0,0
KBOX,2010-09-08 07:00:00+00,1,14,0,0,0
KBOX,2010-09-08 07:00:00+00,2,14,0,0,0
KCXX,2010-09-08 07:00:00+00,1,14,0,0,0
KCXX,2010-09-08 07:00:00+00,2,14,0,0,0
KDIX,2010-09-08 07:00:00+00,1,14,0,0,0
