interval_start_time,avg_bird_density
2013-04-05 00:00:00+00,0
2013-04-05 00:20:00+00,0
2013-04-05 00:40:00+00,0
2013-04-05 01:00:00+00,0
2013-04-05 01:20:00+00,0
2013-04-05 01:40:00+00,0
2013-04-05 02:00:00+00,0
2013-04-05 02:20:00+00,0
2013-04-05 02:40:00+00,0
2013-04-05 03:00:00+00,0
2013-04-05 03:20:00+00,0
2013-04-05 03:40:00+00,0
2013-04-05 04:00:00+00,0
2013-04-05 04:20:00+00,0
2013-04-05 04:40:00+00,0
2013-04-05 05:00:00+00,0
2013-04-05 05:20:00+00,0
2013-04-05 05:40:00+00,0
2013-04-05 06:00:00+00,0
2013-04-05 06:20:00+00,0
2013-04-05 06:40:00+00,0
2013-04-05 07:00:00+00,0
2013-04-05 07:20:00+00,0
2013-04-05 07:40:00+00,0
2013-04-05 08:00:00+00,0
2013-04-05 08:20:00+00,0
2013-04-05 08:40:00+00,0
2013-04-05 09:00:00+00,0
2013-04-05 09:20:00+00,0
2013-04-05 09:40:00+00,0
2013-04-05 10:00:00+00,0
2013-04-05 10:20:00+00,0
2013-04-05 10:40:00+00,11.65849
2013-04-05 11:00:00+00,0
2013-04-05 11:20:00+00,0
2013-04-05 11:40:00+00,0
2013-04-05 12:00:00+00,0
2013-04-05 12:20:00+00,0
2013-04-05 12:40:00+00,12.52214
2013-04-05 13:00:00+00,0
2013-04-05 13:20:00+00,13.50759
2013-04-05 13:40:00+00,0
2013-04-05 14:00:00+00,0
2013-04-05 14:20:00+00,0
2013-04-05 14:40:00+00,0
2013-04-05 15:00:00+00,0
2013-04-05 15:20:00+00,0
2013-04-05 15:40:00+00,0
2013-04-05 16:00:00+00,0
2013-04-05 16:20:00+00,0
2013-04-05 16:40:00+00,0
2013-04-05 17:00:00+00,0
2013-04-05 17:20:00+00,0
2013-04-05 17:40:00+00,0
2013-04-05 18:00:00+00,0
2013-04-05 18:20:00+00,0
2013-04-05 18:40:00+00,0
2013-04-05 19:00:00+00,14.38329
2013-04-05 19:20:00+00,19.02000
2013-04-05 19:40:00+00,16.31546
2013-04-05 20:00:00+00,11.39822
2013-04-05 20:20:00+00,0
2013-04-05 20:40:00+00,0
2013-04-05 21:00:00+00,0
2013-04-05 21:20:00+00,0
2013-04-05 21:40:00+00,0
2013-04-05 22:00:00+00,0
2013-04-05 22:20:00+00,10.11373
2013-04-05 22:40:00+00,0
2013-04-05 23:00:00+00,0
2013-04-05 23:20:00+00,0
2013-04-05 23:40:00+00,0
2013-04-06 00:00:00+00,0
2013-04-06 00:20:00+00,0
2013-04-06 00:40:00+00,0
2013-04-06 01:00:00+00,0
2013-04-06 01:20:00+00,0
2013-04-06 01:40:00+00,0
2013-04-06 02:00:00+00,0
2013-04-06 02:20:00+00,0
2013-04-06 02:40:00+00,0
2013-04-06 03:00:00+00,0
2013-04-06 03:20:00+00,0
2013-04-06 03:40:00+00,0
2013-04-06 04:00:00+00,0
2013-04-06 04:20:00+00,0
2013-04-06 04:40:00+00,0
2013-04-06 05:00:00+00,0
2013-04-06 05:20:00+00,0
2013-04-06 05:40:00+00,0
2013-04-06 06:00:00+00,0
2013-04-06 06:20:00+00,0
2013-04-06 06:40:00+00,0
2013-04-06 07:00:00+00,0
2013-04-06 07:20:00+00,0
2013-04-06 07:40:00+00,0
2013-04-06 08:00:00+00,0
2013-04-06 08:20:00+00,0
2013-04-06 08:40:00+00,0
2013-04-06 09:00:00+00,0
2013-04-06 09:20:00+00,0
2013-04-06 09:40:00+00,28.30179
2013-04-06 10:00:00+00,31.49741
2013-04-06 10:20:00+00,35.85304
2013-04-06 10:40:00+00,36.87385
2013-04-06 11:00:00+00,31.54105
2013-04-06 11:20:00+00,35.00772
2013-04-06 11:40:00+00,37.30414
2013-04-06 12:00:00+00,35.10855
2013-04-06 12:20:00+00,32.97185
2013-04-06 12:40:00+00,33.33096
2013-04-06 13:00:00+00,29.00973
2013-04-06 13:20:00+00,30.19109
