radar_id,interval_start_time,altitude_band,avg_u_speed,avg_v_speed,avg_bird_density,vertical_integrated_density,number_of_measurements
KBGM,2010-09-08 00:00:00+00,1,0,0,0.00000,0.00000,14
KBGM,2010-09-08 00:00:00+00,2,0,0,0.00000,0.00000,14
KBOX,2010-09-08 00:00:00+00,1,0,0,0.00405,0.00567,14
KBOX,2010-09-08 00:00:00+00,2,0,0,0.00000,0.00000,14
KBUF,2010-09-08 00:00:00+00,1,0.00000,0.00000,261.64275,366.29985,14
KBUF,2010-09-08 00:00:00+00,2,0.00000,0.00000,2.59067,3.62694,14
KCBW,2010-09-08 00:00:00+00,1,-4.04815,-1.13690,1.28183,1.79457,14
KCBW,2010-09-08 00:00:00+00,2,0,0,0.00000,0.00000,14
KCCX,2010-09-08 00:00:00+00,1,0,0,0.00199,0.00279,14
KCCX,2010-09-08 00:00:00+00,2,0,0,0.00000,0.00000,14
KCXX,2010-09-08 00:00:00+00,1,0,0,0.22235,0.31130,14
KCXX,2010-09-08 00:00:00+00,2,0,0,0.21969,0.30756,14
KDIX,2010-09-08 00:00:00+00,1,0,0,0.00000,0.00000,14
KDIX,2010-09-08 00:00:00+00,2,0,0,0.00000,0.00000,14
KDOX,2010-09-08 00:00:00+00,1,9.21310,14.45175,0.30004,0.42005,14
KDOX,2010-09-08 00:00:00+00,2,0,0,0.00000,0.00000,14
KENX,2010-09-08 00:00:00+00,1,8.09810,3.90480,0.42904,0.60066,14
KENX,2010-09-08 00:00:00+00,2,0,0,0.00749,0.01049,14
KGYX,2010-09-08 00:00:00+00,1,-4.40367,0.87815,3.41587,4.78222,14
KGYX,2010-09-08 00:00:00+00,2,0,0,0.00366,0.00512,14
KLWX,2010-09-08 00:00:00+00,1,7.68640,13.00385,0.30656,0.42918,14
KLWX,2010-09-08 00:00:00+00,2,0,0,0.00000,0.00000,14
KOKX,2010-09-08 00:00:00+00,1,0,0,0.05999,0.08399,14
KOKX,2010-09-08 00:00:00+00,2,0,0,0.00000,0.00000,14
KTYX,2010-09-08 00:00:00+00,1,0.00000,0.00000,0.01031,0.01444,14
