radar_id,interval_start_time,altitude_band,avg_u_speed,avg_v_speed,avg_bird_density,vertical_integrated_density,number_of_measurements
KCBW,2010-09-08 22:50:00+00,1,0.00000,0.00000,0.00000,0.00000,14
KCBW,2010-09-08 22:50:00+00,2,0.00000,0.00000,0.00000,0.00000,14
KCBW,2010-09-08 22:55:00+00,1,0.00000,0.00000,0.00000,0.00000,14
KCBW,2010-09-08 22:55:00+00,2,0.00000,0.00000,0.00000,0.00000,14
KBOX,2010-09-08 23:00:00+00,1,0.00000,0.00000,0.00000,0.00000,14
KBOX,2010-09-08 23:00:00+00,2,0.00000,0.00000,0.00000,0.00000,14
KCBW,2010-09-08 23:00:00+00,1,0.00000,0.00000,0.00016,0.00022,14
KCBW,2010-09-08 23:00:00+00,2,0.00000,0.00000,0.00000,0.00000,14
KGYX,2010-09-08 23:00:00+00,1,0.00000,0.00000,0.00000,0.00000,14
KGYX,2010-09-08 23:00:00+00,2,0.00000,0.00000,0.00000,0.00000,14
KBOX,2010-09-08 23:05:00+00,1,0.00000,0.00000,0.00000,0.00000,14
KBOX,2010-09-08 23:05:00+00,2,0.00000,0.00000,0.00000,0.00000,14
KCBW,2010-09-08 23:05:00+00,1,0.00000,0.00000,0.00084,0.00118,14
KCBW,2010-09-08 23:05:00+00,2,0.00000,0.00000,0.00000,0.00000,14
KGYX,2010-09-08 23:05:00+00,1,0.00000,0.00000,0.00000,0.00000,14
KGYX,2010-09-08 23:05:00+00,2,0.00000,0.00000,0.00000,0.00000,14
KOKX,2010-09-08 23:05:00+00,1,0.00000,0.00000,0.00624,0.00873,14
KOKX,2010-09-08 23:05:00+00,2,0.00000,0.00000,0.00000,0.00000,14
KBOX,2010-09-08 23:10:00+00,1,0.00000,0.00000,0.00000,0.00000,14
KBOX,2010-09-08 23:10:00+00,2,0.00000,0.00000,0.00000,0.00000,14
KCBW,2010-09-08 23:10:00+00,1,0.00000,0.00000,0.00099,0.00138,14
KCBW,2010-09-08 23:10:00+00,2,0.00000,0.00000,0.00000,0.00000,14
KCXX,2010-09-08 23:10:00+00,1,0.00000,0.00000,0.00072,0.00101,14
KCXX,2010-09-08 23:10:00+00,2,0.00000,0.00000,0.00000,0.00000,14
KGYX,2010-09-08 23:10:00+00,1,0.00000,0.00000,0.00000,0.00000,14
KGYX,2010-09-08 23:10:00+00,2,0.00000,0.00000,0.00000,0.00000,14
KBOX,2010-09-08 23:15:00+00,1,0.00000,0.00000,0.00000,0.00000,28
KBOX,2010-09-08 23:15:00+00,2,0.00000,0.00000,0.00000,0.00000,28
KCBW,2010-09-08 23:15:00+00,1,0.00000,0.00000,0.00125,0.00175,14
KCBW,2010-09-08 23:15:00+00,2,0.00000,0.00000,0.00000,0.00000,14
KCXX,2010-09-08 23:15:00+00,1,0.00000,0.00000,0.00100,0.00140,14
KCXX,2010-09-08 23:15:00+00,2,0.00000,0.00000,0.00000,0.00000,14
KDOX,2010-09-08 23:15:00+00,1,0.00000,0.00000,0.00208,0.00292,14
KDOX,2010-09-08 23:15:00+00,2,0.00000,0.00000,0.00000,0.00000,14
KENX,2010-09-08 23:15:00+00,1,0.00000,0.00000,0.00000,0.00000,14
KENX,2010-09-08 23:15:00+00,2,0.00000,0.00000,0.00000,0.00000,14
