radar_id,interval_start_time,altitude_band,avg_u_speed,avg_v_speed,avg_bird_density
seang,2016-10-03 20:00:00+00,1,-6.73388849894206,-9.01091267267863,21.2459475398064
seang,2016-10-03 20:00:00+00,2,-6.00812423229218,-10.0637924671173,9.58559441566467
seang,2016-10-03 21:00:00+00,1,-5.99448481202126,-8.8968071937561,23.7472115755081
seang,2016-10-03 21:00:00+00,2,-5.21458446979523,-9.59958028793335,11.2654132843018
seang,2016-10-03 22:00:00+00,1,-5.83729395270348,-8.5815461575985,23.2376345396042
seang,2016-10-03 22:00:00+00,2,-5.44780421257019,-9.9606249332428,9.41344964504242
seang,2016-10-03 23:00:00+00,1,-6.02653416991234,-8.08124202489853,17.8764665722847
seang,2016-10-03 23:00:00+00,2,-5.44691586494446,-10.9400165081024,5.95424139499664
searl,2016-10-03 20:00:00+00,1,-12.7021528482437,-9.72696855664253,3.88662678003311
searl,2016-10-03 20:00:00+00,2,-13.3514834880829,-10.8241060733795,0.905274252593517
searl,2016-10-03 21:00:00+00,1,-14.5102306604385,-11.5725096166134,6.18329629302025
searl,2016-10-03 21:00:00+00,2,-14.3197215732775,-11.9607833059211,1.19373004306108
searl,2016-10-03 22:00:00+00,1,-14.9510532617569,-10.9368799030781,4.54117318987846
searl,2016-10-03 22:00:00+00,2,-14.4313573201497,-12.9022802352905,0.848396857362241
searl,2016-10-03 23:00:00+00,1,-15.0972363650799,-10.7174024730921,4.43811757862568
searl,2016-10-03 23:00:00+00,2,-15.603276040819,-15.1116424136692,0.493048042617738
sease,2016-10-03 20:00:00+00,1,-10.2316972315311,-11.5861741304398,2.30593687295914
sease,2016-10-03 20:00:00+00,2,-14.9022115819594,-16.5575636134428,0.563984765671194
sease,2016-10-03 21:00:00+00,1,-13.152615994215,-12.5944909751415,4.07570806145668
sease,2016-10-03 21:00:00+00,2,-17.1572675704956,-17.7472730000814,0.894749236106873
sease,2016-10-03 22:00:00+00,1,-14.3065763115883,-12.4749774038792,3.45659507811069
