radar_id,interval_start_time,altitude_band,avg_u_speed,avg_v_speed,avg_bird_density,vertical_integrated_density,number_of_measurements
6234,2013-04-05 00:00:00+00,1,-1.09273,-0.80584,0.26336,0.36870,28
6234,2013-04-05 00:00:00+00,2,0,0,0.10577,0.25385,48
6260,2013-04-05 00:00:00+00,1,-0.47063,2.82898,0.29873,0.41822,28
6260,2013-04-05 00:00:00+00,2,0,0,0.00000,0.00000,48
6410,2013-04-05 00:00:00+00,1,0,0,0.00000,0.00000,28
6410,2013-04-05 00:00:00+00,2,0,0,0.00000,0.00000,48
6451,2013-04-05 00:00:00+00,2,0,0,0.00000,0.00000,22
6477,2013-04-05 00:00:00+00,1,1.40141,3.77155,3.31665,4.64331,14
6477,2013-04-05 00:00:00+00,2,1.97098,3.25964,0.75253,1.80607,17
6234,2013-04-05 00:20:00+00,1,-0.87018,-0.77432,0.25600,0.35840,28
6234,2013-04-05 00:20:00+00,2,0,0,0.04859,0.11661,48
6260,2013-04-05 00:20:00+00,1,-0.46634,3.05823,0.30072,0.42101,28
6260,2013-04-05 00:20:00+00,2,0,0,0.00000,0.00000,48
6410,2013-04-05 00:20:00+00,1,0,0,0.06191,0.08667,28
6410,2013-04-05 00:20:00+00,2,0,0,0.00000,0.00000,48
6451,2013-04-05 00:20:00+00,2,0,0,0.00000,0.00000,21
6477,2013-04-05 00:20:00+00,1,1.50003,3.82894,3.08608,4.32051,7
6477,2013-04-05 00:20:00+00,2,2.75176,3.57082,0.91843,2.20424,7
6234,2013-04-05 00:40:00+00,1,-0.90515,-0.83881,0.45472,0.63660,28
6234,2013-04-05 00:40:00+00,2,0,0,0.00000,0.00000,48
6260,2013-04-05 00:40:00+00,1,-0.80028,2.85792,0.26349,0.36888,28
6260,2013-04-05 00:40:00+00,2,0,0,0.00000,0.00000,48
6410,2013-04-05 00:40:00+00,1,0.02978,-0.01471,0.06731,0.09423,28
6410,2013-04-05 00:40:00+00,2,0,0,0.00000,0.00000,48
6451,2013-04-05 00:40:00+00,1,0,0,0.11104,0.15546,1
6451,2013-04-05 00:40:00+00,2,0,0,0.00000,0.00000,20
6477,2013-04-05 00:40:00+00,1,1.67673,3.43141,3.46350,4.84890,7
6477,2013-04-05 00:40:00+00,2,2.59662,4.15111,1.08745,2.60989,6
6234,2013-04-05 01:00:00+00,1,-0.87099,-1.07386,0.06479,0.09070,28
6234,2013-04-05 01:00:00+00,2,0,0,0.00844,0.02027,48
6260,2013-04-05 01:00:00+00,1,-0.90459,2.77663,0.25481,0.35673,28
6260,2013-04-05 01:00:00+00,2,0,0,0.00000,0.00000,48
6410,2013-04-05 01:00:00+00,1,-1.72757,-1.29238,0.31868,0.44615,28
6410,2013-04-05 01:00:00+00,2,0,0,0.00000,0.00000,48
6451,2013-04-05 01:00:00+00,1,0,0,0.15475,0.21665,3
6451,2013-04-05 01:00:00+00,2,0,0,0.00000,0.00000,28
6477,2013-04-05 01:00:00+00,1,1.33162,3.19070,2.87053,4.01874,14
6477,2013-04-05 01:00:00+00,2,1.94606,3.85806,1.01260,2.43025,17
6234,2013-04-05 01:20:00+00,1,-1.02039,-0.64478,0.12676,0.17747,28
6234,2013-04-05 01:20:00+00,2,0,0,0.00000,0.00000,48
6260,2013-04-05 01:20:00+00,1,-1.01674,2.05082,0.23660,0.33125,28
6260,2013-04-05 01:20:00+00,2,0,0,0.00000,0.00000,48
6410,2013-04-05 01:20:00+00,1,-2.67188,-1.72366,0.52304,0.73226,28
6410,2013-04-05 01:20:00+00,2,0,0,0.00000,0.00000,48
6451,2013-04-05 01:20:00+00,1,0,0,0.12242,0.17138,2
6451,2013-04-05 01:20:00+00,2,0,0,0.00000,0.00000,22
6477,2013-04-05 01:20:00+00,1,0.68361,3.07927,2.22616,3.11663,7
6477,2013-04-05 01:20:00+00,2,1.79795,3.32085,0.93186,2.23647,9
6234,2013-04-05 01:40:00+00,1,-1.05797,-1.06180,0.26255,0.36757,28
6234,2013-04-05 01:40:00+00,2,0,0,0.00000,0.00000,48
6260,2013-04-05 01:40:00+00,1,-1.45809,2.35912,0.26932,0.37704,28
6260,2013-04-05 01:40:00+00,2,0,0,0.00000,0.00000,48
6410,2013-04-05 01:40:00+00,1,-2.38097,-1.37076,0.58283,0.81596,28
6410,2013-04-05 01:40:00+00,2,0,0,0.00000,0.00000,48
6451,2013-04-05 01:40:00+00,1,0,0,0.00000,0.00000,1
6451,2013-04-05 01:40:00+00,2,0,0,0.00000,0.00000,22
6477,2013-04-05 01:40:00+00,1,0.32402,2.43969,1.63093,2.28331,7
6477,2013-04-05 01:40:00+00,2,1.37476,3.07962,0.85877,2.06105,9
6234,2013-04-05 02:00:00+00,1,-1.20596,-0.97560,0.35714,0.49999,28
6234,2013-04-05 02:00:00+00,2,0,0,0.00000,0.00000,48
6260,2013-04-05 02:00:00+00,1,-1.28861,2.44559,0.27924,0.39093,28
6260,2013-04-05 02:00:00+00,2,0,0,0.00000,0.00000,48
6410,2013-04-05 02:00:00+00,1,-2.52789,-1.22060,0.57374,0.80323,28
6410,2013-04-05 02:00:00+00,2,0,0,0.00000,0.00000,48
6451,2013-04-05 02:00:00+00,1,0,0,0.11078,0.15509,3
6451,2013-04-05 02:00:00+00,2,0,0,0.00000,0.00000,10
6477,2013-04-05 02:00:00+00,1,-0.06078,2.55084,1.51942,2.12719,14
6477,2013-04-05 02:00:00+00,2,1.28481,2.02072,0.60911,1.46187,19
6234,2013-04-05 02:20:00+00,1,-1.49351,-0.87277,0.23415,0.32781,28
6234,2013-04-05 02:20:00+00,2,0,0,0.00000,0.00000,48
6260,2013-04-05 02:20:00+00,1,-1.05792,2.20607,0.25140,0.35195,28
6260,2013-04-05 02:20:00+00,2,0,0,0.00000,0.00000,48
6410,2013-04-05 02:20:00+00,1,-2.11310,-2.24459,0.42907,0.60070,28
6410,2013-04-05 02:20:00+00,2,0,0,0.00000,0.00000,48
6451,2013-04-05 02:20:00+00,1,0,0,0.14150,0.19809,1
6451,2013-04-05 02:20:00+00,2,0,0,0.00000,0.00000,12
